"ID","Slug","Scientific_Name","Common_Name","Type","Image_Filename","Search_Term"
"3","taxus-x-media-hillii","Taxus x media 'Hillii'","Hill's Yew","Shrub","taxus-x-media-hillii.jpg","Taxus x media 'Hillii' plant"
"4","lonicera-lagostim-lemon-beauty","Lonicera lagostim lemon beauty","Box honeysuckle","Shrub","lonicera-lagostim-lemon-beauty.jpg","Lonicera lagostim lemon beauty plant"
"5","forsythia-lynwood-gold","Forsythia Lynwood Gold","border forsythia","Shrub","forsythia-lynwood-gold.jpg","Forsythia Lynwood Gold plant"
"6","taxus-brevifolia-01","Taxus Brevifolia -#01","western yew","Shrub","taxus-brevifolia-01.jpg","Taxus Brevifolia -#01 plant"
"8","prunus-laurocerasus-otto-luyken","Prunus Laurocerasus Otto Luyken","cherry laurel","Shrub","prunus-laurocerasus-otto-luyken.jpg","Prunus Laurocerasus Otto Luyken plant"
"10","cotoneaster-dammeri","Cotoneaster Dammeri","bearberry cotoneaster","Shrub","cotoneaster-dammeri.jpg","Cotoneaster Dammeri plant"
"12","hosta-variegated","Hosta variegated","Plantain lily","Perennial","hosta-variegated.jpg","Hosta variegated plant"
"13","cornus-nuttallii-eddes-white-wonder-bnb","Cornus Nuttallii 'Edde's White Wonder' - #BnB","Western Flowering Dogwood","Tree","cornus-nuttallii-eddes-white-wonder-bnb.jpg","Cornus Nuttallii 'Edde's White Wonder' - #BnB plant"
"14","pieris-japonica-forest-flame","Pieris Japonica 'Forest Flame'","Lily of the Valley shrub","Shrub","pieris-japonica-forest-flame.jpg","Pieris Japonica 'Forest Flame' plant"
"15","medium-rhododendron","Medium Rhododendron","Azaleas","Shrub","medium-rhododendron.jpg","Medium Rhododendron plant"
"16","rosa-meidiland-pink","Rosa Meidiland Pink","Pink Meidiland","Shrub","rosa-meidiland-pink.jpg","Rosa Meidiland Pink plant"
"18","juniperus-horizontalis","Juniperus Horizontalis","Creeping Juniper","Shrub","juniperus-horizontalis.jpg","Juniperus Horizontalis plant"
"19","euonymus-emerald","Euonymus Emerald","Winter Creeper","Shrub","euonymus-emerald.jpg","Euonymus Emerald plant"
"20","rosa-meidiland-white","Rosa Meidiland White","Meidiland White Rose","Shrub","rosa-meidiland-white.jpg","Rosa Meidiland White plant"
"21","euonymus-emerald-gold","Euonymus Emerald Gold","Wintercreeper","Shrub","euonymus-emerald-gold.jpg","Euonymus Emerald Gold plant"
"22","euonymus-emerald-gaiety","Euonymus emerald gaiety","Wintercreeper","Shrub","euonymus-emerald-gaiety.jpg","Euonymus emerald gaiety plant"
"24","berberis-thunbergii-concorde","Berberis thunbergii concorde","Japanese Barberry","Shrub","berberis-thunbergii-concorde.jpg","Berberis thunbergii concorde plant"
"25","cornus-kelseyi","Cornus Kelseyi","Dogwood","Tree","cornus-kelseyi.jpg","Cornus Kelseyi plant"
"26","potentilla-fruticosa","Potentilla fruticosa","Shrubby cinquefoil","Shrub","potentilla-fruticosa.jpg","Potentilla fruticosa plant"
"27","cornus-nuttallii","Cornus Nuttallii","Pacific dogwood","Tree","cornus-nuttallii.jpg","Cornus Nuttallii plant"
"28","buxus-winter-gem","Buxus winter gem","Winter Gem Boxwood","Shrub","buxus-winter-gem.jpg","Buxus winter gem plant"
"29","lynwood-gold-forsythia","Lynwood Gold Forsythia","Golden bell","Shrub","lynwood-gold-forsythia.jpg","Lynwood Gold Forsythia plant"
"30","cotoneaster-dammeri","Cotoneaster dammeri","bearberry cotoneaster","Shrub","cotoneaster-dammeri.jpg","Cotoneaster dammeri plant"
"31","ajuga-reptans-1","Ajuga reptans -#1","Bugleweed","Perennial","ajuga-reptans-1.jpg","Ajuga reptans -#1 plant"
"32","cornus-sericea-flaviramea","Cornus sericea flaviramea","Yellow twig dogwood","Tree","cornus-sericea-flaviramea.jpg","Cornus sericea flaviramea plant"
"34","chamaecyparis-pisifera-golden-mop","Chamaecyparis pisifera 'Golden Mop'","Sawara cypress","Shrub","chamaecyparis-pisifera-golden-mop.jpg","Chamaecyparis pisifera 'Golden Mop' plant"
"35","spiraea-japonica-shirobana","Spiraea japonica Shirobana","Japonica Spiraea","Shrub","spiraea-japonica-shirobana.jpg","Spiraea japonica Shirobana plant"
"36","spiraea-japonica-darts-red","Spiraea japonica 'Dart's Red'","Japanese Spiraea","Shrub","spiraea-japonica-darts-red.jpg","Spiraea japonica 'Dart's Red' plant"
"38","viburnum-trilobum","Viburnum trilobum","highbush cranberry","Shrub","viburnum-trilobum.jpg","Viburnum trilobum plant"
"39","salix-purpurea-nana","Salix purpurea 'Nana","Purple osier","Tree","salix-purpurea-nana.jpg","Salix purpurea 'Nana plant"
"40","buxus-green-mountain","Buxus Green Mountain","Green Mountain Boxwood","Shrub","buxus-green-mountain.jpg","Buxus Green Mountain plant"
"41","lonicera-nitida-red-tips","Lonicera nitida 'Red Tips'","Red Tip Honeysuckle","Shrub","lonicera-nitida-red-tips.jpg","Lonicera nitida 'Red Tips' plant"
"42","lonicera-caerulea-indigo-gem","Lonicera caerulea 'Indigo Gem'","Blue honeysuckle","Shrub","lonicera-caerulea-indigo-gem.jpg","Lonicera caerulea 'Indigo Gem' plant"
"43","berberis-thunbergii-rose-glow","Berberis Thunbergii Rose Glow","Japanese barberry","Shrub","berberis-thunbergii-rose-glow.jpg","Berberis Thunbergii Rose Glow plant"
"44","physocarpus-opulifolius-nugget","Physocarpus opulifolius 'Nugget'","Ninebark Nugget","Shrub","physocarpus-opulifolius-nugget.jpg","Physocarpus opulifolius 'Nugget' plant"
"45","rosa-meidiland-red","Rosa Meidiland Red","Rose","Shrub","rosa-meidiland-red.jpg","Rosa Meidiland Red plant"
"46","abies-grandis","Abies Grandis","Grand Fir","Tree","abies-grandis.jpg","Abies Grandis plant"
"47","crataegus-douglasii","Crataegus douglasii","Black Hawthorn","Tree","crataegus-douglasii.jpg","Crataegus douglasii plant"
"48","populus-balsamifera-trichocarpa","Populus Balsamifera Trichocarpa","Black Cottonwood","Tree","populus-balsamifera-trichocarpa.jpg","Populus Balsamifera Trichocarpa plant"
"49","cornus-sericea","Cornus Sericea","Red-osier Dogwood","Tree","cornus-sericea.jpg","Cornus Sericea plant"
"50","spirea-douglasii","Spirea Douglasii","Hard hack","Shrub","spirea-douglasii.jpg","Spirea Douglasii plant"
"51","typha-latifolia","Typha Latifolia","Cattails","Shrub","typha-latifolia.jpg","Typha Latifolia plant"
"52","carex-obnupta","Carex Obnupta","Slough sedge","Shrub","carex-obnupta.jpg","Carex Obnupta plant"
"53","salix-sitchensis-50p","Salix sitchensis - #50p","Willow","Tree","salix-sitchensis-50p.jpg","Salix sitchensis - #50p plant"
"54","populus-balsamifera-trichocarpa-50p","Populus Balsamifera Trichocarpa - #50P","Black Cottonwood","Tree","populus-balsamifera-trichocarpa-50p.jpg","Populus Balsamifera Trichocarpa - #50P plant"
"56","alnus-rubra","Alnus Rubra","Red Alder ","Shrub","alnus-rubra.jpg","Alnus Rubra plant"
"57","populus-trichocarpa","Populus Trichocarpa","Black Cottonwood ","Tree","populus-trichocarpa.jpg","Populus Trichocarpa plant"
"58","symphoricarpos-albus","Symphoricarpos Albus","Common Snowberry ","Shrub","symphoricarpos-albus.jpg","Symphoricarpos Albus plant"
